suburb,point
Rogers Park,"42.0128,-87.666"
Logan Square,"41.9142,-87.7168"
Loop,"41.8838,-87.6291"
North Lawndale,"41.8666,-87.6945"
Lincoln Park,"41.9121,-87.6347"
Logan Square,"41.9295,-87.6842"
Lincoln Park,"41.9263,-87.6308"
Edgewater,"41.9898,-87.6601"
Near North Side,"41.8904,-87.6264"
Albany Park,"41.9659,-87.7009"
,"41.901,-87.6238"
Near South Side,"41.8566,-87.6275"
Near West Side,"41.8856,-87.6418"
West Town,"41.8917,-87.6769"
Lake View,"41.9528,-87.65"
Loop,"41.881,-87.6241"
,"41.8947,-87.6344"
Lincoln Park,"41.9288,-87.6685"
Uptown,"41.9734,-87.6678"
Lake View,"41.9394,-87.6684"
Loop,"41.8847,-87.6277"
Near West Side,"41.8777,-87.6493"
Lake View,"41.94,-87.653"
,"41.9069,-87.6262"
Lincoln Park,"41.9256,-87.6537"
Lower West Side,"41.8579,-87.6688"
Lincoln Park,"41.9147,-87.6433"
West Town,"41.9103,-87.6701"
Douglas,"41.8386,-87.6082"
Near North Side,"41.8938,-87.6417"
Logan Square,"41.916,-87.6689"
West Town,"41.9094,-87.6777"
,"41.8926,-87.6145"
Loop,"41.8847,-87.6195"
,"41.8914,-87.6266"
Lincoln Park,"41.9105,-87.6531"
West Town,"41.9029,-87.6873"
Lake View,"41.9491,-87.6486"
,"41.9067,-87.6348"
Lake View,"41.9491,-87.6486"
Logan Square,"41.9177,-87.6916"
Near North Side,"41.8918,-87.6206"
Loop,"41.886,-87.6241"
Near West Side,"41.8821,-87.6414"
,"41.9097,-87.6481"
,"41.8948,-87.6228"
,"41.903,-87.6313"
Near West Side,"41.8836,-87.6486"
Loop,"41.8868,-87.6223"
Near West Side,"41.878,-87.6442"
Logan Square,"41.9241,-87.6765"
,"41.8947,-87.6344"
Near West Side,"41.8819,-87.6488"
Lake View,"41.949,-87.6486"
Near North Side,"41.8958,-87.6259"
West Town,"41.8918,-87.6588"
Lincoln Park,"41.9032,-87.6343"
Uptown,"41.9716,-87.6502"
Hyde Park,"41.7996,-87.5948"
Loop,"41.8813,-87.6295"
Lincoln Park,"41.9312,-87.6443"
Near West Side,"41.8828,-87.6612"
Lincoln Park,"41.9312,-87.6443"
Lincoln Square,"41.9687,-87.6961"
West Town,"41.9104,-87.6701"
Logan Square,"41.9295,-87.6842"
Near West Side,"41.8822,-87.6411"
Near West Side,"41.8722,-87.6615"
West Town,"41.8946,-87.6535"
Edgewater,"41.9836,-87.6692"
Loop,"41.8835,-87.6371"
West Town,"41.9029,-87.6873"
