suburb,point
Uptown,"41.964,-87.6382"
Edgewater,"41.9897,-87.6601"
,"41.901,-87.6239"
,"41.8969,-87.6217"
,"41.891,-87.6353"
Near South Side,"41.8672,-87.626"
Near West Side,"41.8776,-87.6494"
Lake View,"41.9357,-87.6636"
Near South Side,"41.8578,-87.6246"
Lake View,"41.9462,-87.6733"
Lincoln Park,"41.9253,-87.6658"
Lincoln Park,"41.9117,-87.6268"
,"42.0529,-87.6734"
Near North Side,"41.894,-87.6293"
Lincoln Park,"41.9295,-87.6431"
,"41.9069,-87.6262"
Loop,"41.8679,-87.623"
Lake View,"41.9495,-87.6465"
Loop,"41.884,-87.6247"
Loop,"41.8763,-87.6291"
Near North Side,"41.894,-87.6293"
Lincoln Park,"41.9105,-87.6532"
Lincoln Park,"41.9102,-87.6435"
Near South Side,"41.8578,-87.6246"
Lincoln Park,"41.9032,-87.6343"
West Town,"41.9103,-87.6701"
Near North Side,"41.8967,-87.6357"
Lincoln Park,"41.9313,-87.6442"
Lincoln Park,"41.9222,-87.6389"
Loop,"41.8728,-87.624"
Lower West Side,"41.8582,-87.6565"
Uptown,"41.9617,-87.6546"
West Town,"41.9031,-87.674"
Lake View,"41.9433,-87.671"
Douglas,"41.8246,-87.6168"
Loop,"41.8721,-87.6296"
Lake View,"41.9542,-87.6544"
Armour Square,"41.8531,-87.6319"
Lincoln Square,"41.969,-87.696"
Lake View,"41.9363,-87.6527"
Lincoln Park,"41.912,-87.6349"
,"41.8906,-87.6221"
Lincoln Square,"41.9798,-87.6775"
Lincoln Park,"41.903,-87.6346"
Near West Side,"41.8831,-87.6571"
Douglas,"41.8421,-87.617"
Near West Side,"41.8649,-87.6471"
Lincoln Park,"41.9121,-87.635"
Lake View,"41.9433,-87.671"
Near North Side,"41.8916,-87.6267"
Loop,"41.8813,-87.6295"
West Town,"41.9013,-87.6774"
Loop,"41.8864,-87.6175"
Edgewater,"41.9836,-87.6692"
Near North Side,"41.9035,-87.6434"
Loop,"41.8868,-87.6223"
Lincoln Park,"41.9291,-87.6491"
Near West Side,"41.8718,-87.6467"
West Town,"41.8899,-87.6715"
Lincoln Park,"41.9218,-87.6539"
Douglas,"41.8386,-87.6082"
Lincoln Park,"41.9114,-87.6387"
Near North Side,"41.8977,-87.6432"
Near West Side,"41.8856,-87.6418"
Lake View,"41.9437,-87.6488"
Lake View,"41.9377,-87.644"
Armour Square,"41.8531,-87.6319"
West Town,"41.9013,-87.6774"
West Town,"41.8958,-87.6772"
Lake View,"41.9544,-87.648"
Hyde Park,"41.8026,-87.5904"
,"41.8968,-87.6309"
Lincoln Park,"41.9114,-87.6387"
West Town,"41.9031,-87.6739"
West Town,"41.8916,-87.6484"
,"41.8923,-87.612"
Lincoln Square,"41.9687,-87.6962"
Near West Side,"41.8783,-87.6439"
Near North Side,"41.8902,-87.6262"
West Town,"41.8917,-87.6481"
Loop,"41.8842,-87.6296"
Lincoln Park,"41.9256,-87.6537"
Near West Side,"41.8804,-87.6427"
,"41.8974,-87.6287"
Loop,"41.8847,-87.6277"
Loop,"41.881,-87.6241"
,"41.9067,-87.6348"
Lake View,"41.94,-87.64"
West Town,"41.91,-87.68"
Logan Square,"41.9179,-87.6823"
West Town,"41.9029,-87.6875"
Lake View,"41.9508,-87.6592"
Lower West Side,"41.8581,-87.6511"
Lake View,"41.9544,-87.648"
West Town,"41.91,-87.68"
West Town,"41.89,-87.65"
West Town,"41.89,-87.65"
West Town,"41.89,-87.65"
Lake View,"41.94,-87.65"
Lake View,"41.94,-87.65"
Lake View,"41.94,-87.65"
Lake View,"41.94,-87.65"
Lake View,"41.94,-87.65"
Lake View,"41.94,-87.65"
Lake View,"41.94,-87.65"
Lake View,"41.94,-87.64"
Lake View,"41.94,-87.64"
Lake View,"41.94,-87.64"
Logan Square,"41.9171,-87.7102"
Lincoln Square,"41.9616,-87.6764"
Loop,"41.8857,-87.6358"
Lincoln Park,"41.9138,-87.6488"
West Town,"41.8886,-87.6444"
Near West Side,"41.8853,-87.6422"
West Town,"41.8959,-87.6678"
,"41.9095,-87.648"
,"41.899,-87.6297"
Logan Square,"41.9159,-87.6692"
Lincoln Park,"41.9287,-87.6638"
Lincoln Park,"41.9138,-87.6489"
Lake View,"41.948,-87.664"
Lake View,"41.94,-87.64"
Lake View,"41.9438,-87.6488"
Near West Side,"41.8835,-87.6416"
Lake View,"41.9407,-87.6392"
Lake View,"41.9367,-87.6369"
Lincoln Park,"41.9289,-87.659"
,"41.901,-87.6238"
Douglas,"41.8347,-87.6258"
Loop,"41.8846,-87.6319"
Lower West Side,"41.8581,-87.6565"
Douglas,"41.8388,-87.6219"
Lincoln Park,"41.9256,-87.6657"
Near West Side,"41.8834,-87.6412"
Woodlawn,"41.7851,-87.6011"
,"41.9067,-87.6348"
Lincoln Park,"41.9181,-87.6437"
Near North Side,"41.8902,-87.6262"
Loop,"41.881,-87.6167"
Lake View,"41.94,-87.64"
West Town,"41.8996,-87.6677"
Near North Side,"41.8949,-87.6323"
Lincoln Park,"41.9222,-87.6389"
Near West Side,"41.8718,-87.6466"
Near West Side,"41.8837,-87.6487"
Edgewater,"41.9948,-87.6603"
Near North Side,"41.891,-87.6355"
Lincoln Park,"41.9257,-87.6391"
West Town,"41.8887,-87.6445"
Near South Side,"41.8672,-87.626"
Lake View,"41.9367,-87.6368"
West Town,"41.9007,-87.6626"
Near South Side,"41.8604,-87.6258"
Near West Side,"41.8828,-87.6612"
Lake View,"41.9482,-87.6639"
Lincoln Park,"41.9259,-87.639"
,"41.8896,-87.623"
Near West Side,"41.8829,-87.6413"
Lincoln Park,"41.9256,-87.6585"
,"41.8974,-87.6287"
Edgewater,"41.9948,-87.6604"
Near West Side,"41.8718,-87.6466"
Douglas,"41.8388,-87.6219"
Loop,"41.8815,-87.6255"
,"41.8943,-87.6228"
Near North Side,"41.894,-87.6214"
Near West Side,"41.8722,-87.6615"
Bridgeport,"41.8307,-87.6472"
Bridgeport,"41.8307,-87.6472"
,"41.8974,-87.6288"
,"41.8974,-87.6238"
Lake View,"41.9455,-87.6464"
Hyde Park,"41.7993,-87.601"
Near West Side,"41.873,-87.6691"
Near North Side,"41.8958,-87.6259"
,"41.908,-87.6315"
Lake View,"41.9402,-87.653"
Hyde Park,"41.7943,-87.6014"
Near West Side,"41.8832,-87.6511"
Lake View,"41.9455,-87.6464"
Near South Side,"41.8672,-87.6154"
Lake View,"41.9542,-87.6644"
Lincoln Park,"41.9183,-87.6363"
Near North Side,"41.8947,-87.6385"
Near South Side,"41.8578,-87.6246"
Uptown,"41.9616,-87.666"
Near South Side,"41.8641,-87.6237"
Lake View,"41.9482,-87.6639"
Near North Side,"41.8977,-87.6235"
Hyde Park,"41.7915,-87.5999"
Near West Side,"41.8854,-87.6418"
Loop,"41.8869,-87.6128"
Loop,"41.8908,-87.6186"
Lincoln Park,"41.9121,-87.6347"
,"41.8882,-87.6364"
Hyde Park,"41.7943,-87.6014"
Lincoln Park,"41.9114,-87.6387"
Lake View,"41.9491,-87.6486"
,"42.0505,-87.6778"
Loop,"41.8772,-87.6278"
Near West Side,"41.8821,-87.6398"
Fuller Park,"41.8093,-87.6334"
Near West Side,"41.8855,-87.6523"
Near North Side,"41.894,-87.6293"
Edgewater,"41.978,-87.668"
Lake View,"41.9367,-87.6368"
Lake View,"41.9437,-87.649"
Loop,"41.8847,-87.6195"
West Town,"41.9129,-87.6642"
Near North Side,"41.9002,-87.643"
Near North Side,"41.8918,-87.6206"
Near West Side,"41.8777,-87.6548"
Bridgeport,"41.8307,-87.6411"
Loop,"41.8794,-87.6355"
,"41.9097,-87.6481"
Near North Side,"41.894,-87.6293"
West Town,"41.9033,-87.6784"
Near West Side,"41.8776,-87.6496"
Near West Side,"41.8781,-87.6495"
,"41.8892,-87.6385"
Logan Square,"41.916,-87.6773"
Lincoln Park,"41.9256,-87.6389"
Douglas,"41.831,-87.6268"
Lake View,"41.9455,-87.6464"
Loop,"41.875,-87.6331"
Loop,"41.8679,-87.623"
Loop,"41.8759,-87.6306"
Lower West Side,"41.8581,-87.651"
,"41.8909,-87.6318"
,"41.908,-87.6315"
Near West Side,"41.8852,-87.6423"
Lake View,"41.9455,-87.6464"
Loop,"41.8847,-87.6277"
Near West Side,"41.8713,-87.6737"
Bridgeport,"41.8472,-87.6468"
Woodlawn,"41.7851,-87.6011"
Near West Side,"41.8777,-87.6548"
Lincoln Park,"41.9322,-87.6586"
Lincoln Park,"41.9102,-87.6434"
Near West Side,"41.8834,-87.6412"
,"41.9097,-87.6481"
Uptown,"41.9738,-87.6597"
,"41.8899,-87.6343"
Uptown,"41.9585,-87.6551"
Lincoln Park,"41.9157,-87.6346"
Lincoln Park,"41.9108,-87.6532"
Near North Side,"41.8958,-87.6259"
Near West Side,"41.8777,-87.6548"
Lincoln Park,"41.9105,-87.6531"
Lincoln Park,"41.9295,-87.6431"
Hyde Park,"41.7996,-87.5948"
Uptown,"41.9733,-87.6679"
Lincoln Park,"41.9157,-87.6346"
Near North Side,"41.8941,-87.6183"
Near West Side,"41.8777,-87.6548"
Logan Square,"41.9155,-87.687"
Uptown,"41.9585,-87.655"
,"41.8945,-87.6178"
Near West Side,"41.8828,-87.6612"
Lincoln Park,"41.9256,-87.6537"
Near North Side,"41.8918,-87.6206"
Lincoln Park,"41.9147,-87.6432"
Near North Side,"41.9002,-87.643"
Near West Side,"41.8713,-87.6737"
Loop,"41.8813,-87.6295"
Loop,"41.881,-87.6167"
Lincoln Square,"41.9691,-87.6742"
Near North Side,"41.8938,-87.6417"
Loop,"41.886,-87.6241"
Near North Side,"41.891,-87.6355"
Near West Side,"41.8783,-87.6439"
Woodlawn,"41.7851,-87.6011"
West Ridge,"42.0018,-87.6888"
,"41.8945,-87.6178"
Lincoln Park,"41.9218,-87.6441"
Near West Side,"41.8718,-87.6466"
,"41.9106,-87.6494"
,"41.9359,-87.6783"
Near West Side,"41.8832,-87.6511"
West Town,"41.9094,-87.6777"
Lake View,"41.9366,-87.6369"
,"41.8906,-87.6221"
Near North Side,"41.8895,-87.6385"
Lincoln Park,"41.9124,-87.6348"
Hyde Park,"41.7993,-87.601"
Loop,"41.8862,-87.6276"
Near North Side,"41.8977,-87.6235"
Hyde Park,"41.7887,-87.6013"
,"41.8943,-87.6228"
Grand Boulevard,"41.8218,-87.6214"
Lincoln Park,"41.9121,-87.6347"
Lincoln Park,"41.9323,-87.6526"
Near West Side,"41.8693,-87.6737"
Near West Side,"41.8855,-87.6523"
Lincoln Park,"41.9183,-87.6521"
Lincoln Park,"41.9121,-87.6347"
Lincoln Square,"41.9757,-87.6795"
Lake View,"41.9491,-87.6485"
Lake View,"41.9445,-87.6547"
Near North Side,"41.894,-87.6293"
Near West Side,"41.886,-87.677"
Near West Side,"41.8866,-87.658"
Loop,"41.8813,-87.6295"
Near North Side,"41.894,-87.6293"
Lake View,"41.9365,-87.6475"
Near West Side,"41.8781,-87.6398"
Loop,"41.888,-87.6236"
Lincoln Park,"41.9263,-87.6308"
Near North Side,"41.891,-87.6355"
,"41.8974,-87.6287"
Near West Side,"41.8834,-87.6412"
,"41.8945,-87.6178"
Loop,"41.884,-87.6247"
Loop,"41.8869,-87.6128"
Loop,"41.886,-87.6241"
Loop,"41.8793,-87.632"
Hyde Park,"41.7953,-87.5965"
,"41.9067,-87.6348"
,"41.9029,-87.6377"
Lincoln Park,"41.9313,-87.6387"
Lincoln Park,"41.9217,-87.6439"
Near North Side,"41.894,-87.6293"
Near North Side,"41.8946,-87.632"
Douglas,"41.8421,-87.617"
Loop,"41.8795,-87.6257"
Near North Side,"41.8902,-87.6262"
Near West Side,"41.875,-87.6732"
,"41.8968,-87.6309"
Near West Side,"41.8834,-87.6412"
North Lawndale,"41.8666,-87.6945"
West Town,"41.9094,-87.6777"
,"41.8892,-87.6385"
Near South Side,"41.8661,-87.6073"
Loop,"41.8849,-87.6275"
Hyde Park,"41.7993,-87.601"
,"41.8982,-87.6375"
Loop,"41.8817,-87.6302"
Near West Side,"41.8834,-87.6412"
West Town,"41.9034,-87.6678"
,"41.9097,-87.6481"
Lincoln Park,"41.9199,-87.6488"
,"41.8943,-87.6228"
Logan Square,"41.9227,-87.6971"
Hyde Park,"41.7915,-87.5999"
Near North Side,"41.8986,-87.6219"
Loop,"41.8803,-87.6352"
Lincoln Park,"41.9181,-87.6437"
Rogers Park,"42.001,-87.6612"
Near South Side,"41.8641,-87.6237"
Edgewater,"41.978,-87.6682"
,"41.8906,-87.6221"
Lincoln Park,"41.9182,-87.6569"
Near West Side,"41.8841,-87.6543"
Lake View,"41.9401,-87.6455"
Loop,"41.8782,-87.6319"
Lincoln Park,"41.9029,-87.6344"
,"41.9095,-87.6481"
Near North Side,"41.8985,-87.6229"
Lincoln Park,"41.9312,-87.6443"
,"41.908,-87.6315"
Loop,"41.8726,-87.6335"
Lincoln Park,"41.9313,-87.6387"
Lake View,"41.9376,-87.6441"
Near West Side,"41.8822,-87.6411"
Logan Square,"41.916,-87.6773"
Near West Side,"41.8671,-87.6411"
Loop,"41.8793,-87.632"
Near South Side,"41.8672,-87.626"
Loop,"41.8721,-87.6296"
West Town,"41.8955,-87.682"
Logan Square,"41.9178,-87.6824"
Uptown,"41.9658,-87.6454"
Near South Side,"41.8672,-87.6154"
,"41.9106,-87.6494"
Near North Side,"41.8938,-87.6417"
,"41.8982,-87.6375"
,"41.899,-87.6299"
Lincoln Park,"41.9121,-87.6347"
Loop,"41.887,-87.6128"
Uptown,"41.9579,-87.6495"
Near West Side,"41.8743,-87.6396"
Lincoln Square,"41.9659,-87.6936"
Near West Side,"41.8718,-87.6466"
Near West Side,"41.8722,-87.6615"
Woodlawn,"41.7806,-87.5848"
Near North Side,"41.894,-87.6293"
Hyde Park,"41.7996,-87.5948"
Hyde Park,"41.7993,-87.601"
Lincoln Park,"41.9032,-87.6343"
Loop,"41.8709,-87.6312"
West Town,"41.8887,-87.6445"
Near West Side,"41.8776,-87.6496"
Near West Side,"41.8624,-87.6511"
Lake View,"41.9455,-87.6464"
Near North Side,"41.8967,-87.6357"
New City,"41.8382,-87.6451"
,"41.8957,-87.6213"
Lake View,"41.9437,-87.664"
Near North Side,"41.9035,-87.6434"
,"41.8943,-87.6228"
Near West Side,"41.8828,-87.6612"
Near West Side,"41.8822,-87.6411"
Near West Side,"41.8724,-87.6614"
Loop,"41.8846,-87.6319"
Lake View,"41.9445,-87.6547"
Lake View,"41.9376,-87.6441"
Edgewater,"41.978,-87.668"
Near West Side,"41.8832,-87.6511"
Uptown,"41.9658,-87.6454"
Loop,"41.8741,-87.6277"
,"41.899,-87.6299"
,"41.8968,-87.6309"
Hyde Park,"41.7993,-87.601"
Lincoln Park,"41.9183,-87.6364"
Hermosa,"41.9246,-87.7278"
Douglas,"41.8347,-87.6258"
West Town,"41.9129,-87.6642"
Edgewater,"41.984,-87.6523"
,"41.903,-87.6313"
Near South Side,"41.8604,-87.6258"
Loop,"41.881,-87.6241"
Loop,"41.8793,-87.632"
Uptown,"41.9617,-87.6546"
Lincoln Park,"41.9157,-87.6346"
,"41.8899,-87.6343"
Logan Square,"41.9227,-87.6971"
Near South Side,"41.8672,-87.626"
Hyde Park,"41.7915,-87.6"
,"41.956,-87.6802"
Douglas,"41.8417,-87.6269"
Loop,"41.8795,-87.6257"
Douglas,"41.8362,-87.6135"
Loop,"41.8846,-87.6319"
Loop,"41.8842,-87.6296"
,"41.8313,-87.6088"
Uptown,"41.9609,-87.6497"
Loop,"41.886,-87.6241"
Lincoln Park,"41.9289,-87.659"
,"41.8313,-87.6088"
Near West Side,"41.886,-87.6671"
,"41.8908,-87.6317"
Avondale,"41.9452,-87.7066"
Lincoln Square,"41.9687,-87.6961"
Near North Side,"41.8978,-87.6429"
,"41.8987,-87.63"
Hyde Park,"41.7943,-87.6014"
Near West Side,"41.8823,-87.6413"
Lincoln Park,"41.9291,-87.6491"
Loop,"41.8763,-87.6203"
West Town,"41.9094,-87.6777"
,"41.908,-87.6315"
Rogers Park,"41.9993,-87.6713"
,"41.8948,-87.6184"
Loop,"41.8726,-87.6335"
Loop,"41.8728,-87.624"
Lake View,"41.9331,-87.6478"
Lake View,"41.949,-87.6486"
Loop,"41.881,-87.6167"
Loop,"41.881,-87.6167"
Lincoln Park,"41.9259,-87.639"
Lake View,"41.9376,-87.6441"
,"41.8944,-87.6343"
Near North Side,"41.891,-87.6355"
Loop,"41.881,-87.6167"
Edgewater,"41.9947,-87.6603"
Lake View,"41.9357,-87.6636"
Near West Side,"41.873,-87.6691"
Loop,"41.8726,-87.6335"
,"41.8922,-87.6125"
Near North Side,"41.8889,-87.6281"
,"41.89,-87.6345"
Lake View,"41.9397,-87.6589"
Near West Side,"41.8671,-87.6411"
Loop,"41.8864,-87.6167"
Lower West Side,"41.8538,-87.6466"
Lake View,"41.9361,-87.6698"
Logan Square,"41.9175,-87.7016"
Near North Side,"41.8939,-87.6237"
Lake View,"41.9455,-87.6464"
,"41.8892,-87.6278"
Logan Square,"41.9296,-87.7079"
Near West Side,"41.8781,-87.6398"
West Town,"41.8964,-87.6541"
Lincoln Park,"41.9287,-87.6538"
,"41.8982,-87.6375"
Near West Side,"41.875,-87.6733"
Near South Side,"41.8563,-87.6134"
Lincoln Park,"41.9295,-87.6431"
Woodlawn,"41.7804,-87.5914"
,"41.943,-87.6873"
Hyde Park,"41.7942,-87.6015"
Bridgeport,"41.8378,-87.6511"
Near West Side,"41.8828,-87.6612"
Uptown,"41.9579,-87.6495"
Lincoln Park,"41.9121,-87.6347"
Near West Side,"41.8832,-87.6511"
Lake View,"41.9544,-87.648"
,"41.901,-87.6238"
Near North Side,"41.9002,-87.643"
,"41.9488,-87.6753"
Lake View,"41.9455,-87.6467"
,"41.9067,-87.6348"
Near North Side,"41.8949,-87.6323"
Lincoln Park,"41.9121,-87.6347"
Loop,"41.886,-87.6241"
Lincoln Square,"41.9691,-87.6742"
Lake View,"41.9544,-87.648"
Logan Square,"41.9155,-87.687"
Lincoln Park,"41.9208,-87.6638"
Logan Square,"41.9155,-87.687"
,"41.9076,-87.6386"
,"41.901,-87.6237"
,"41.899,-87.6299"
,"41.8892,-87.6385"
Lake View,"41.9445,-87.6547"
,"41.8969,-87.6217"
Near West Side,"41.873,-87.6691"
Near North Side,"41.8941,-87.6297"
Uptown,"41.9579,-87.6495"
Uptown,"41.9658,-87.6454"
Near West Side,"41.8855,-87.6523"
Uptown,"41.9579,-87.6495"
Lake View,"41.9482,-87.6639"
Lake View,"41.9437,-87.649"
West Town,"41.8899,-87.6715"
Near West Side,"41.8722,-87.6615"
Near West Side,"41.8837,-87.6487"
,"41.9046,-87.6406"
West Town,"41.9094,-87.6777"
Near West Side,"41.8837,-87.6487"
Loop,"41.8726,-87.6335"
Lake View,"41.9455,-87.6464"
Near North Side,"41.891,-87.6355"
Lower West Side,"41.8582,-87.6565"
Lincoln Park,"41.9157,-87.6346"
Loop,"41.8847,-87.6195"
Lincoln Park,"41.9137,-87.6529"
Logan Square,"41.9296,-87.7079"
Near North Side,"41.8986,-87.6219"
Lake View,"41.9367,-87.6368"
Near West Side,"41.8748,-87.6498"
Lincoln Park,"41.9326,-87.6363"
Near North Side,"41.8921,-87.6211"
Lincoln Park,"41.9288,-87.6685"
Armour Square,"41.8345,-87.6318"
Loop,"41.8819,-87.6322"
Lincoln Park,"41.9137,-87.6529"
Lake View,"41.9495,-87.6465"
West Town,"41.9031,-87.6739"
Hyde Park,"41.7915,-87.5999"
,"41.8923,-87.612"
Loop,"41.881,-87.6167"
Lincoln Park,"41.9183,-87.6363"
Lake View,"41.9397,-87.6589"
West Town,"41.9077,-87.6726"
Near West Side,"41.8693,-87.6737"
Lincoln Square,"41.9615,-87.6912"
Loop,"41.881,-87.6167"
Loop,"41.8782,-87.6319"
Woodlawn,"41.7852,-87.6011"
Loop,"41.8859,-87.631"
Lower West Side,"41.8541,-87.6858"
Loop,"41.8845,-87.6196"
Loop,"41.8679,-87.623"
Loop,"41.886,-87.6309"
Near South Side,"41.8578,-87.6246"
Near West Side,"41.8717,-87.651"
Lincoln Park,"41.9181,-87.6437"
Near West Side,"41.8703,-87.6395"
Lincoln Park,"41.9117,-87.6268"
,"41.8945,-87.6178"
Grand Boulevard,"41.8023,-87.6181"
Uptown,"41.9733,-87.6697"
Lake View,"41.9376,-87.6441"
Lincoln Park,"41.9199,-87.6488"
,"41.89,-87.6366"
Auburn Gresham,"41.7378,-87.6448"
Lincoln Park,"41.9117,-87.6268"
Lincoln Park,"41.9121,-87.6347"
Lincoln Park,"41.9184,-87.6522"
Near South Side,"41.8606,-87.6259"
,"41.89,-87.6366"
Douglas,"41.8386,-87.6082"
,"41.8892,-87.6385"
,"41.9094,-87.6481"
Loop,"41.8848,-87.6287"
Logan Square,"41.916,-87.6689"
,"41.9023,-87.6277"
Lake View,"41.9391,-87.6639"
Near West Side,"41.8837,-87.6487"
,"42.0326,-87.6792"
,"41.8947,-87.6344"
,"41.8892,-87.6385"
Lincoln Park,"41.9217,-87.6538"
Loop,"41.884,-87.6247"
Lincoln Park,"41.9259,-87.6492"
Lake View,"41.9495,-87.6465"
Lake View,"41.949,-87.6544"
Near West Side,"41.8846,-87.6446"
Lake View,"41.9491,-87.6486"
Near West Side,"41.8703,-87.6395"
Lincoln Park,"41.9186,-87.6521"
West Town,"41.8964,-87.6541"
Albany Park,"41.9666,-87.7081"
Lake View,"41.9491,-87.6462"
Loop,"41.8904,-87.6175"
Near West Side,"41.8713,-87.6737"
Near North Side,"41.8918,-87.6206"
Uptown,"41.9616,-87.666"
Lincoln Park,"41.9295,-87.6432"
Near West Side,"41.8856,-87.6418"
,"41.8892,-87.6385"
Loop,"41.8869,-87.626"
Uptown,"41.9695,-87.6547"
Loop,"41.8821,-87.6251"
West Town,"41.8918,-87.6588"
Loop,"41.8857,-87.6244"
West Town,"41.9007,-87.6626"
Bridgeport,"41.8285,-87.646"
Lake View,"41.9544,-87.648"
Uptown,"41.9671,-87.6674"
Hyde Park,"41.788,-87.5882"
,"41.8912,-87.6269"
West Town,"41.9071,-87.6672"
Lincoln Park,"41.9218,-87.6441"
,"41.8899,-87.6343"
Lincoln Park,"41.9263,-87.6308"
Lake View,"41.9376,-87.6441"
Loop,"41.8821,-87.6251"
Hyde Park,"41.7917,-87.584"
Logan Square,"41.9294,-87.6842"
,"41.8908,-87.6317"
Near South Side,"41.8672,-87.6259"
,"41.901,-87.6238"
,"41.9067,-87.6348"
Lake View,"41.9408,-87.6392"
West Town,"41.9071,-87.6672"
Edgewater,"41.984,-87.6523"
Lincoln Park,"41.9291,-87.6492"
Near West Side,"41.8834,-87.6412"
West Ridge,"42.0188,-87.69"
Lake View,"41.9331,-87.6478"
Loop,"41.8858,-87.6355"
Loop,"41.8908,-87.6186"
Loop,"41.8772,-87.6278"
Hyde Park,"41.7952,-87.5807"
Loop,"41.8721,-87.6296"
Loop,"41.886,-87.6309"
Near North Side,"41.8958,-87.6259"
Lake View,"41.9445,-87.6547"
Lake View,"41.9494,-87.6545"
Near North Side,"41.8938,-87.6417"
Lake View,"41.9495,-87.6465"
Lincoln Park,"41.9263,-87.6308"
Near South Side,"41.8641,-87.6237"
,"41.9023,-87.6277"
Loop,"41.8827,-87.6325"
Lake View,"41.9402,-87.653"
Lincoln Park,"41.9121,-87.6347"
Near North Side,"41.8978,-87.6429"
Near North Side,"41.891,-87.6355"
Near West Side,"41.873,-87.6691"
Loop,"41.886,-87.6309"
Lincoln Park,"41.9032,-87.6343"
Near South Side,"41.8661,-87.6073"
Near West Side,"41.8776,-87.6496"
Lake View,"41.9387,-87.6496"
,"41.899,-87.6299"
Near West Side,"41.8857,-87.6522"
Near West Side,"41.8718,-87.6466"
,"41.8892,-87.6385"
,"41.8975,-87.6237"
Lincoln Park,"41.9121,-87.6347"
Lake View,"41.9455,-87.6464"
Logan Square,"41.9295,-87.6842"
Douglas,"41.8347,-87.6258"
Loop,"41.8904,-87.6175"
Uptown,"41.961,-87.6496"
Near West Side,"41.8793,-87.639"
West Town,"41.9094,-87.6777"
West Town,"41.9071,-87.6674"
West Town,"41.9033,-87.6784"
,"41.8986,-87.6301"
Loop,"41.8843,-87.6338"
,"41.9614,-87.6762"
,"41.8944,-87.6227"
Near West Side,"41.8855,-87.6422"
Near West Side,"41.8841,-87.6543"
Near North Side,"41.8919,-87.6209"
Near North Side,"41.8986,-87.6219"
Hyde Park,"41.7915,-87.5999"
West Town,"41.9103,-87.6701"
Near West Side,"41.8781,-87.6398"
Edgewater,"41.9948,-87.6603"
,"41.8923,-87.612"
West Town,"41.8963,-87.6611"
,"41.9543,-87.686"
Lincoln Park,"41.9239,-87.6358"
Near West Side,"41.8777,-87.6548"
Lake View,"41.9571,-87.6642"
Loop,"41.8858,-87.6248"
,"41.8944,-87.6227"
Rogers Park,"42.0126,-87.6744"
Lake View,"41.948,-87.6642"
Loop,"41.8858,-87.6246"
,"41.8985,-87.6218"
Edgewater,"41.9836,-87.6692"
Loop,"41.8864,-87.6175"
,"41.8947,-87.6344"
Lincoln Park,"41.922,-87.6539"
West Town,"41.9094,-87.6777"
Lower West Side,"41.8575,-87.6463"
Loop,"41.886,-87.6241"
,"41.8892,-87.6278"
Uptown,"41.9671,-87.6674"
Lake View,"41.9542,-87.6544"
West Town,"41.8887,-87.6445"
,"41.8926,-87.6145"
Near North Side,"41.894,-87.6418"
,"41.8947,-87.6344"
Loop,"41.8904,-87.6179"
Loop,"41.8803,-87.6352"
,"41.899,-87.6299"
,"41.8944,-87.6227"
Near South Side,"41.8576,-87.6194"
Near West Side,"41.8798,-87.6861"
Lincoln Park,"41.9218,-87.6441"
West Town,"41.8958,-87.6772"
Near West Side,"41.8855,-87.6523"
Lake View,"41.9331,-87.6478"
Douglas,"41.8386,-87.6082"
Loop,"41.8813,-87.6241"
Lake View,"41.9509,-87.6591"
Lincoln Park,"41.9121,-87.6347"
,"41.8923,-87.612"
Near West Side,"41.8856,-87.6418"
Near West Side,"41.8718,-87.6466"
Lake View,"41.9401,-87.6455"
Lake View,"41.9491,-87.6485"
Hyde Park,"41.7915,-87.5998"
Near West Side,"41.8778,-87.6551"
Lincoln Square,"41.9631,-87.6848"
,"41.8926,-87.6145"
,"41.9614,-87.6762"
,"41.899,-87.6299"
Logan Square,"41.9146,-87.668"
West Town,"41.8955,-87.682"
Near West Side,"41.8713,-87.6736"
Near South Side,"41.8653,-87.6179"
Lincoln Park,"41.931,-87.6442"
Hyde Park,"41.7915,-87.5999"
,"41.8947,-87.6344"
Near West Side,"41.8828,-87.6612"
Near South Side,"41.8641,-87.6237"
,"41.9023,-87.6277"
Loop,"41.8869,-87.626"
South Lawndale,"41.8481,-87.7151"
Loop,"41.8794,-87.6298"
Near North Side,"41.8914,-87.6353"
Near West Side,"41.8838,-87.6484"
Lake View,"41.9367,-87.6368"
Logan Square,"41.916,-87.6773"
Logan Square,"41.9267,-87.6977"
,"42.0505,-87.6778"
Albany Park,"41.9612,-87.7166"
Loop,"41.8777,-87.6353"
Loop,"41.8772,-87.6278"
Lincoln Park,"41.9218,-87.6441"
Near North Side,"41.8949,-87.6325"
West Town,"41.903,-87.6838"
Loop,"41.8772,-87.6278"
Near West Side,"41.8695,-87.6555"
West Town,"41.9034,-87.6678"
Lincoln Park,"41.9287,-87.6538"
Lake View,"41.9544,-87.6479"
Lake View,"41.9401,-87.6458"
,"41.8915,-87.6268"
West Town,"41.8916,-87.6484"
,"41.901,-87.6238"
Lincoln Park,"41.912,-87.632"
Lake View,"41.9456,-87.6465"
Logan Square,"41.9185,-87.6974"
Near North Side,"41.8977,-87.6235"
Armour Square,"41.8531,-87.6319"
,"41.8892,-87.6278"
Uptown,"41.9733,-87.6697"
Near West Side,"41.8715,-87.6699"
